datetime,open,high,low,close,volume,option_symbol,expiry_date
2024-01-02 14:35:00,1.62,1.62,1.62,1.62,2,O:SPY240116C00480000,2024-01-16
2024-01-02 14:36:00,1.63,1.63,1.63,1.63,1,O:SPY240116C00480000,2024-01-16
2024-01-02 14:38:00,1.51,1.51,1.5,1.5,3,O:SPY240116C00480000,2024-01-16
2024-01-02 14:43:00,1.47,1.47,1.47,1.47,1,O:SPY240116C00480000,2024-01-16
2024-01-02 14:47:00,1.46,1.46,1.46,1.46,100,O:SPY240116C00480000,2024-01-16
2024-01-02 14:53:00,1.38,1.38,1.38,1.38,1,O:SPY240116C00480000,2024-01-16
2024-01-02 14:56:00,1.36,1.36,1.36,1.36,1,O:SPY240116C00480000,2024-01-16
2024-01-02 14:58:00,1.45,1.45,1.45,1.45,1,O:SPY240116C00480000,2024-01-16
2024-01-02 15:00:00,1.54,1.54,1.54,1.54,2,O:SPY240116C00480000,2024-01-16
2024-01-02 15:03:00,1.58,1.58,1.58,1.58,1,O:SPY240116C00480000,2024-01-16
2024-01-02 15:07:00,1.53,1.53,1.53,1.53,1,O:SPY240116C00480000,2024-01-16
2024-01-02 15:15:00,1.44,1.44,1.44,1.44,2,O:SPY240116C00480000,2024-01-16
2024-01-02 15:20:00,1.45,1.45,1.45,1.45,1,O:SPY240116C00480000,2024-01-16
2024-01-02 15:26:00,1.42,1.42,1.42,1.42,5,O:SPY240116C00480000,2024-01-16
2024-01-02 15:41:00,1.34,1.34,1.34,1.34,2,O:SPY240116C00480000,2024-01-16
2024-01-02 15:59:00,1.29,1.29,1.29,1.29,3,O:SPY240116C00480000,2024-01-16
2024-01-02 16:00:00,1.32,1.32,1.32,1.32,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:02:00,1.34,1.34,1.34,1.34,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:03:00,1.34,1.34,1.33,1.33,2,O:SPY240116C00480000,2024-01-16
2024-01-02 16:09:00,1.39,1.39,1.39,1.39,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:11:00,1.45,1.45,1.45,1.45,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:12:00,1.44,1.44,1.44,1.44,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:13:00,1.36,1.36,1.36,1.36,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:18:00,1.41,1.41,1.41,1.41,1,O:SPY240116C00480000,2024-01-16
2024-01-02 16:30:00,1.38,1.38,1.38,1.38,7,O:SPY240116C00480000,2024-01-16
2024-01-02 16:46:00,1.47,1.52,1.47,1.52,5,O:SPY240116C00480000,2024-01-16
2024-01-02 16:56:00,1.57,1.57,1.57,1.57,20,O:SPY240116C00480000,2024-01-16
2024-01-02 17:28:00,1.56,1.56,1.56,1.56,2,O:SPY240116C00480000,2024-01-16
2024-01-02 17:33:00,1.55,1.55,1.55,1.55,2,O:SPY240116C00480000,2024-01-16
2024-01-02 17:48:00,1.58,1.58,1.52,1.52,10,O:SPY240116C00480000,2024-01-16
2024-01-02 18:00:00,1.39,1.39,1.39,1.39,1,O:SPY240116C00480000,2024-01-16
2024-01-02 18:14:00,1.39,1.39,1.39,1.39,3,O:SPY240116C00480000,2024-01-16
2024-01-02 18:26:00,1.45,1.45,1.45,1.45,1,O:SPY240116C00480000,2024-01-16
2024-01-02 18:58:00,1.22,1.22,1.22,1.22,1,O:SPY240116C00480000,2024-01-16
2024-01-02 18:59:00,1.25,1.25,1.25,1.25,15,O:SPY240116C00480000,2024-01-16
2024-01-02 19:00:00,1.25,1.25,1.25,1.25,2,O:SPY240116C00480000,2024-01-16
2024-01-02 19:02:00,1.19,1.19,1.19,1.19,26,O:SPY240116C00480000,2024-01-16
2024-01-02 19:06:00,1.16,1.16,1.16,1.16,3,O:SPY240116C00480000,2024-01-16
2024-01-02 19:17:00,1.16,1.16,1.16,1.16,10,O:SPY240116C00480000,2024-01-16
2024-01-02 19:34:00,1.14,1.14,1.14,1.14,1,O:SPY240116C00480000,2024-01-16
2024-01-02 19:43:00,1.1,1.1,1.1,1.1,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:04:00,0.98,0.98,0.98,0.98,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:05:00,0.95,0.95,0.95,0.95,3,O:SPY240116C00480000,2024-01-16
2024-01-02 20:08:00,0.97,0.97,0.97,0.97,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:10:00,0.98,0.98,0.98,0.98,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:15:00,0.95,0.95,0.95,0.95,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:18:00,1.02,1.02,1.02,1.02,5,O:SPY240116C00480000,2024-01-16
2024-01-02 20:21:00,1.0,1.0,1.0,1.0,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:29:00,0.99,0.99,0.99,0.99,2,O:SPY240116C00480000,2024-01-16
2024-01-02 20:30:00,0.98,0.98,0.98,0.98,5,O:SPY240116C00480000,2024-01-16
2024-01-02 20:34:00,1.0,1.0,1.0,1.0,25,O:SPY240116C00480000,2024-01-16
2024-01-02 20:36:00,0.97,0.97,0.97,0.97,5,O:SPY240116C00480000,2024-01-16
2024-01-02 20:41:00,0.97,0.97,0.97,0.97,9,O:SPY240116C00480000,2024-01-16
2024-01-02 20:43:00,0.98,0.98,0.98,0.98,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:49:00,1.01,1.02,1.01,1.02,25,O:SPY240116C00480000,2024-01-16
2024-01-02 20:50:00,1.06,1.06,1.06,1.06,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:56:00,1.22,1.22,1.22,1.22,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:57:00,1.28,1.28,1.28,1.28,1,O:SPY240116C00480000,2024-01-16
2024-01-02 20:59:00,1.32,1.32,1.32,1.32,1,O:SPY240116C00480000,2024-01-16
2024-01-03 14:30:00,0.96,0.96,0.96,0.96,4,O:SPY240117C00480000,2024-01-17
2024-01-03 14:34:00,0.94,0.94,0.94,0.94,1,O:SPY240117C00480000,2024-01-17
2024-01-03 14:44:00,0.93,0.93,0.93,0.93,2,O:SPY240117C00480000,2024-01-17
2024-01-03 14:51:00,0.93,0.93,0.93,0.93,1,O:SPY240117C00480000,2024-01-17
2024-01-03 14:59:00,0.89,0.89,0.89,0.89,2,O:SPY240117C00480000,2024-01-17
2024-01-03 15:05:00,0.92,0.97,0.92,0.97,5,O:SPY240117C00480000,2024-01-17
2024-01-03 15:06:00,0.98,0.98,0.98,0.98,5,O:SPY240117C00480000,2024-01-17
2024-01-03 15:24:00,0.79,0.79,0.79,0.79,5,O:SPY240117C00480000,2024-01-17
2024-01-03 15:47:00,0.74,0.74,0.74,0.74,3,O:SPY240117C00480000,2024-01-17
2024-01-03 15:57:00,0.73,0.73,0.73,0.73,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:00:00,0.8,0.8,0.8,0.8,6,O:SPY240117C00480000,2024-01-17
2024-01-03 16:06:00,0.8,0.8,0.8,0.8,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:21:00,0.78,0.78,0.78,0.78,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:25:00,0.77,0.77,0.77,0.77,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:27:00,0.81,0.81,0.81,0.81,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:29:00,0.8,0.8,0.8,0.8,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:32:00,0.78,0.78,0.78,0.78,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:33:00,0.78,0.78,0.78,0.78,1,O:SPY240117C00480000,2024-01-17
2024-01-03 16:47:00,0.75,0.75,0.75,0.75,1,O:SPY240117C00480000,2024-01-17
